UM_NAMEF;UM_NAMES;UM_CODE;UM_TRANS;UM_TYPE;UM_TM;UM_TE;UM_KLADR;global_id
Полное наименование;Сокращённое наименование;Код;Транслитерация;Код вида;Код ОМК ТМ;Код ОМК ТЕ;Код КЛАДР;global_id
Алымова улица;Алымова ул.;350;Aly'mova ulicza;1;;415;7,70000000000735E+016;58485203
Алымов переулок;Алымов пер.;360;Aly'mov pereulok;2;;403;7,70000000000734E+016;58485204
улица Алябьева;ул. Алябьева;370;ulicza Alyab`eva;1;;818;7,70000000000736E+016;58485205
Амбулаторный переулок;Амбулаторный пер.;380;Ambulatorny'j pereulok;2;;201;7,70000000000739E+016;58485206
1-й Амбулаторный проезд;1-й Амбулаторный пр.;390;Pervy'j Ambulatorny'j proezd;3;;201;7,70000000000737E+016;58485207
2-й Амбулаторный проезд;2-й Амбулаторный пр.;400;Vtoroj Ambulatorny'j proezd;3;;201;7,70000000000738E+016;58485208
Аминьевское шоссе;Аминьевское ш.;420;Amin`evskoe shosse;6;;"0809;0819;0820";7,70000000007074E+016;58485209
улица Амундсена;ул. Амундсена;430;ulicza Amundsena;1;;313;7,70000000000741E+016;58485211
Амурская улица;Амурская ул.;440;Amurskaya ulicza;1;;406;7,70000000000742E+016;58485212
Амурский переулок;Амурский пер.;445;Amurskij pereulok;2;;406;7,70000000003519E+016;58485213
Анадырский проезд;Анадырский пр.;450;Anady'rskij proezd;3;;"0303;0307";7,70000000000743E+016;58485214
Ананьевский переулок;Ананьевский пер.;460;Anan`evskij pereulok;2;;104;7,70000000000625E+016;58485215
Ангарская улица;Ангарская ул.;470;Angarskaya ulicza;1;;"0208;0209";7,70000000000338E+016;58485216
Ангелов переулок;Ангелов пер.;472;Angelov pereulok;2;;902;7,7000000000352E+016;58485217
улица Павла Андреева;ул. Павла Андреева;480;ulicza Pavla Andreeva;1;;"0103;0609";7,70000000000744E+016;58485218
Андреево-Забелинская улица;Андреево-Забелинская ул.;490;Andreevo-Zabelinskaya ulicza;1;;403;7,70000000000745E+016;58485219
Андреевская набережная;Андреевская наб.;500;Andreevskaya naberezhnaya;5;;702;7,70000000003521E+016;58485220
Андроновское шоссе;Андроновское ш.;510;Andronovskoe shosse;6;;507;7,70000000000262E+016;58485221
Большая Андроньевская улица;Б. Андроньевская ул.;520;Bol`shaya Andron`evskaya ulicza;1;;107;7,70000000000747E+016;58485222
Малая Андроньевская улица;М. Андроньевская ул.;530;Malaya Andron`evskaya ulicza;1;;107;7,70000000000748E+016;58485223
Андроньевская набережная;Андроньевская наб.;540;Andron`evskaya naberezhnaya;5;;107;7,70000000000746E+016;58485224
Андроньевский проезд;Андроньевский пр.;542;Andron`evskij proezd;3;;107;7,70000000003999E+016;58485225
проспект Андропова;просп. Андропова;545;prospekt Andropova;10;;"0515;0609;0613;0614";7,7000000000075E+016;58485226
Анненская улица;Анненская ул.;550;Annenskaya ulicza;1;;309;7,70000000000751E+016;58485227
Анненский проезд;Анненский пр.;560;Annenskij proezd;3;;309;7,70000000000752E+016;58485228
улица Академика Анохина;ул. Академика Анохина;575;ulicza Akademika Anoxina;1;;817;7,70000000000754E+016;58485229
улица Аносова;ул. Аносова;580;ulicza Anosova;1;;413;7,70000000000382E+016;58485231
улица Генерала Антонова;ул. Генерала Антонова;585;ulicza Generala Antonova;1;;704;7,70000000000755E+016;58485232
улица Антонова-Овсеенко;ул. Антонова-Овсеенко;590;ulicza Antonova-Ovseenko;1;;106;7,70000000000756E+016;58485233
проезд Апакова;пр. Апакова;600;proezd Apakova;3;;110;7,70000000003522E+016;58485234
Арбатецкая улица;Арбатецкая ул.;610;Arbateczkaya ulicza;1;;"0107;0609";7,70000000000759E+016;58485235
Арбатская площадь;Арбатская пл.;620;Arbatskaya ploshhad`;4;;101;7,70000000004236E+016;58485236
улица Арбат;ул. Арбат;640;ulicza Arbat;1;;101;7,70000000000758E+016;58485237
площадь Арбатские Ворота;пл. Арбатские Ворота;660;ploshhad` Arbatskie Vorota;4;;101;7,70000000000761E+016;58485238
Арбатский переулок;Арбатский пер.;670;Arbatskij pereulok;2;;101;7,70000000000762E+016;58485239
Аргуновская улица;Аргуновская ул.;680;Argunovskaya ulicza;1;;310;7,70000000000763E+016;58485240
Аристарховский переулок;Аристарховский пер.;690;Aristarxovskij pereulok;2;;107;7,70000000000764E+016;58485241
Армавирская улица;Армавирская ул.;700;Armavirskaya ulicza;1;;508;7,70000000000157E+016;58485242
улица Инессы Арманд;ул. Инессы Арманд;705;ulicza Inessy' Armand;1;;712;7,70000000003244E+016;58485243
Армянский переулок;Армянский пер.;710;Armyanskij pereulok;2;;102;7,70000000000766E+016;58485244
улица Артамонова;ул. Артамонова;720;ulicza Artamonova;1;;819;7,70000000000767E+016;58485245
Артековская улица;Артековская ул.;730;Artekovskaya ulicza;1;;615;7,70000000000768E+016;58485246
улица Артюхиной;ул. Артюхиной;745;ulicza Artyuxinoj;1;;514;7,70000000000158E+016;58485247
улица Академика Арцимовича;ул. Академика Арцимовича;753;ulicza Akademika Arczimovicha;1;;704;7,70000000000771E+016;58485248
Аптекарский переулок;Аптекарский пер.;755;Aptekarskij pereulok;2;;102;7,70000000000757E+016;58485249
1-й Архивный переулок;1-й Архивный пер.;760;Pervy'j Arxivny'j pereulok;2;;109;7,70000000000769E+016;58485251
Большой Спасоглинищевский переулок;Б. Спасоглинищевский пер.;770;Bol`shoj Spasoglinishhevskij pereulok;2;;102;7,70000000007008E+016;58485252
улица Асеева;ул. Асеева;790;ulicza Aseeva;1;;201;7,70000000000772E+016;58485253
Певческий переулок;Певческий пер.;800;Pevcheskij pereulok;2;;107;7,70000000007158E+016;58485254
Астрадамская улица;Астрадамская ул.;810;Astradamskaya ulicza;1;;215;7,70000000000774E+016;58485255
Астрадамский проезд;Астрадамский пр.;820;Astradamskij proezd;3;;215;7,70000000000775E+016;58485256
